fichier;annee;valeur_francs;unite;contexte
6_cri_1979-1980-ordinaire1_044.txt;1979;2743450000;francs;arquer de l'intérêt pour les problèmes des populations des territoires du Pacifique dont je l'entretenais. II aura servi l'Etat jusqu 'au bout . - L'effort budgétaire global de l'Etat en faveur des territoires d'outre-mer pour 1980 devrait atteindre 2 743 450 000 francs, soit 50 milliards de francs Pacifique environ. 1I correspond à 0,52 p. 100 des dépenses nettes du budget général 'et progresse de 12,4 p. 100 par rapport à celui de 1979, cette progression étant inférieure à celle de la moyenne
6_cri_1979-1980-ordinaire1_032.txt;1979;2646625000;francs;"les). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'BTAT « Autorisations de programme : 2 987 000 000 francs ; « Crédits de paiement : 1 802 802 000 francs.» TITRE VI. — SUBVENTIONS D 'INVESTISSEMENT ACCORDÉES PAR L ' ETAT « Autorisations de programme : 2 646 625 000 francs ; « Crédits de paiement : 556 761 000 francs. » ETAT D Autorisations d'engagement accordées pa r anticipation sur les crédits à ouvrir en 1981. TITRE III IV. — Transports intérieurs. e Chap. 35-42. — Routes et circulation routièr"
5_cri_1975-1976-ordinaire1_038.txt;1975;2550000000;francs;l'état D. Article 29. M. le président . 'e Art 29. — I. — Il est ouvert au ministre de la défense, pour 1976. au titre des mesures nouvelles sur les dépenses ordinaires des ser vices militaires, des autorisations de programme s'élevant à la somme de 2 550 000 000 francs et applicables au titre III c Moyens des armes et services e IL — Il est ouvert au ministre de la défense, pour 1976, au titre des mesures nouvelles sur les dépenses ordinaires des ser- vices militaires, des crédits s'élevant à l
5_cri_1974-1975-ordinaire1_046.txt;1974;2411389000;francs;été réservé. Article 24. M. le président. « Art. 24. — I. — Il est ouvert au ministre de la défense pour 1975, au titre des mesures nouvelles sur les dépenses ordinaires des services militaires, des autorisations de programme s'élevant à la somme de 2 411 389 000 francs et applicables au titre III «Moyens des armes et services s. « II. — Il est ouvert au ministre de la défense pour 1975, au titre des mesures nouvelles sur les dùprmses ordinaires des services militaires, des (médits s'élevant à l
6_cri_1979-1980-ordinaire1_032.txt;1979;2161100000;francs;"B, je suis saisi de cieux amendements, n""' 242 et 340, pouvant être soumis à une discussion commune. L'amendement n"" 242, présenté par M . Icart, rapporteur général, M . Robert-André Vivien et M . Ginoux, est ainsi rédigé : s Réduire les crédits de 2 161 100 000 francs . a L'amendement n"" 340, présenté par MM . Gilbert Gantier, Féron, Wagner, est ainsi rédigé : « Réduire les crédits de 52 300 000 francs . » La parole est à M. Cornet, rapporteur spécial, pour soutenir l'amendement n"" 242. M. Pie"
6_cri_1979-1980-ordinaire1_032.txt;1979;2161100000;francs;spécial . Cet amendement a été adopté par la commission des finances sur l'initiative de son président M. Robert-André Vivien et de M . Henri Ginoux. Comme je l'ai indiqué ce matin en présentant mon rapport, son objet est de supprimer la dotation de 2 161 100 000 francs prévue pour 1980 eu faveur de la contribution de l'Etat aux t ransports publics parisiens qui figure au chapitre 46-41 de la section des transports terrestres. Chacun aura vite compris qu'il ne s'agit pas de remettre en cause de
6_cri_1979-1980-ordinaire1_032.txt;1979;2161100000;francs;"s inscrits dans la loi de finances n'engage en rien l'Assemblée sur le futur mode de gestion des transports parisiens. En revanche, le vote des amendements peut avoir des conséquences immédiates. L'amendement n"" 242 propose de réduire les crédits de 2 161 100 000 francs. Que se passera-t-il si cet amendement est adopté, c'est-à-dire si mes arguments selon lesquels il est possible de voter le texte budgétaire sans pour autant se déterminer sur le projet de loi déposé par le Gouvernement ne vous o"
6_cri_1979-1980-ordinaire1_032.txt;1979;2095800000;francs;"t la R. A. T. P. dans une position difficile. En revanche, j'insiste, monsieur le ministre, pour que vous acceptiez l'amendement n"" 340, qui prévoit une réduction de 52300000 francs des crédits nouveaux sur un budget qui s'éle- vait, l'an dernier, à 2 095 800 000 francs et qui serait donc reconduit. De toute façon, il serait étonnant que le projet de loi dont vous avez parlé soit voté avant la fin de l'année . Aussi peut-on penser qu'un projet de loi de finances rectificative nous sera soumis, v"
6_cri_1978-1979-ordinaire2_017.txt;1978;2000122960;F;Electricité 2 500 5 853 I. M. C. (Paris). Hors collections. IL Cousons Cousines s 96 80 000 566 244 Déchaux (Paris), Châtelaudren (Côtesdu- Programmes du C . N . D . P + 2 planches. 2 170 000 179 908 Nord'1. Déchaux (Paris). Brochures diverses 5 2 000 122 960 Fabrègue, Union (Paris), C . T. I. G. (Lyon), Impressions diverses. Sécurité routière 1 I&3 000 45 741 Jouve (Paris). Hemmerié. ..0 000 Formation continue 3 à 1 500 000 66 812 Edouard (Paris), Moore Paragon, Socar. Documents promotion
6_cri_1979-1980-ordinaire1_032.txt;1979;1802802000;francs;"sations de programme et des crédits de paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'BTAT « Autorisations de programme : 2 987 000 000 francs ; « Crédits de paiement : 1 802 802 000 francs.» TITRE VI. — SUBVENTIONS D 'INVESTISSEMENT ACCORDÉES PAR L ' ETAT « Autorisations de programme : 2 646 625 000 francs ; « Crédits de paiement : 556 761 000 francs. » ETAT D Autorisations d'engagement accordées pa r anticipation"
5_cri_1976-1977-ordinaire1_061.txt;1976;1687030000;francs;"uvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'ETAT e Autorisations de programme : 161 890 000 francs; « Crédits de paiement : 57 313 000 francs . a TITRE VI . — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT e Autorisations de programme : 1 687 030 000 francs ; « Crédits de paiement : 1 113 700 000 francs. Personne ne demande la parole ? . .. Je mets aux voix le titre III. (Le titre III est adopté .) M. le président. Sur le titre IV, la parole est à M. Duroure. M . Roger Duroure . Mon"
5_cri_1976-1977-ordinaire1_061.txt;1976;1624430066;francs;"M. le président. Personne ne demande plus la parole ? . .. J'appelle maintenant les crédits inscrits à la ligne a Intérieur a. ETAT B Répartition des crédits applicables aux dépenses ordinaires des services civils (mesures nouvelles). e Titre III : 1 624 430 066 francs ; e Titre 1V : 100 330 000 francs. ETAT C Répartition des autorisations de programme et des crédits de paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR"
6_cri_1978-1979-ordinaire1_050.txt;1978;1515675000;francs;"1 053 777 francs . » ETAT C Répartition des autorisations de programme et des crédits de paiement applicables aux dépenses en capital des services ciel (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'ETAT « Autorisations de programme, 1 515 675 000 francs ; s Crédits de paiement, 1 016 444 000 francs, » TITRE VI. — SUBVENTIONS D'INVESTISSEMENT ACCORDÉES PAR L ' ETAT e Autorisations de programme, 17 625 000 francs ; e Crédits de paiement, 10 275 000 francs . » Personne ne demande l"
6_cri_1978-1979-ordinaire1_050.txt;1978;1415260000;francs;"elles). TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR L ' ETAT • Autorisations de programme, 120 970 000 francs ; « Crédits de paiement, 57 315 000 francs . e TITRE VI. — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L ' ETAT e Autorisations de programme, 1 415 260 000 francs ; « Crédits de paiement, 968 806 000 francs. s Je mets aux voix le titre III. M. le ministre des transports. Je demande un scrutin public. (Mouvements divers sur les bancs des socialistes et des commu- nistes.) M. le président. J"
6_cri_1978-1979-ordinaire1_050.txt;1978;1355000000;francs;, reproduites dans un journal du matin voilà quelques jours. M. Louis Le Pensec. Très bien ! M. Claude Evin. Quelle accusation ! Enfin, quel courage, serions-nous tentés de dire, si le courage se mesurait plus aux paroles qu'aux actes ! Un crédit de 1 355 000 000 francs figure dans le projet de budget de la marine marchande au titre de l'aide à la construc- tion navale. Or, le ministre responsable de ce budget reconnaît que cette subvention aux entreprises est accordée sans contrôle ni contrepar
5_qst_5-qst-1975-07-19.txt;1975;1301000000;francs;"du barème n'a pas permis de retenir. L'effort consenti par l 'Etat dans le domaine des bourses nationales d 'études du second degré se traduit pour l 'année scolaire 1974-1975 par l'inscription au budget du minis- tère de l 'éducation d'un crédit de 1 301 000 000 francs permettant de faire bénéficier de cette aide environ deux millions d'élèves scolarisés, soit quatre élèves sur dix. 3"" Les crédits inscrits dans le budget de 1974 ont permis, compte non tenu des enseignements supérieurs, la créat"
